label,category,n_samples,n_particles,n_particles_mean,n_particles_std,size_mean,size_std,r_mean,r_std,theta_mean,theta_std,theta_coverage,rule_violations
cluster_parent_child,cluster,0,0,,,,,,,,,0.0,
composite,composite,0,0,,,,,,,,,0.0,
cox_lognormal,cox,0,0,,,,,,,,,0.0,
edge_sector,sector,0,0,,,,,,,,,0.0,
edge_sector_bottom,sector,0,0,,,,,,,,,0.0,
edge_sector_left,sector,5,1000,200.0,0.0,0.9483361616327195,0.3222689388437,142.26993802726764,4.362570327096584,3.139050915235311,0.1985766160292123,0.1111111111111111,
edge_sector_right,sector,5,1000,200.0,0.0,0.9765367430307608,0.3521753968693422,142.68904341857473,4.412473350502567,6.277799719531046,0.2003966422951922,0.1111111111111111,
edge_sector_top,sector,0,0,,,,,,,,,0.0,
hotspot,hotspot,0,0,,,,,,,,,0.0,
hotspot_center,hotspot,3,600,200.0,0.0,0.9629840583843733,0.35681029943883164,9.453814316862875,5.086653639068472,2.2787251075608417,2.5849459151110707,1.0,
hotspot_edge,hotspot,0,0,,,,,,,,,0.0,
hotspot_random,hotspot,0,0,,,,,,,,,0.0,
inhom_poisson,inhom_poisson,0,0,,,,,,,,,0.0,
radial_lines,line,5,1000,200.0,0.0,0.9678419065085869,0.35644873758490053,73.73716035369051,42.82553213897648,1.8041532365738084,2.8912789086334394,0.3333333333333333,line.theta_coverage
random_edge_biased,random,1,200,200.0,0.0,0.9492460845274948,0.3191039190164497,119.85714889621119,24.037526679817052,4.606126462101085,2.349967804854422,1.0,
random_uniform,random,1,200,200.0,0.0,0.9717580894252026,0.3592281231332574,97.76448656072452,36.52588798716241,2.823338312673595,2.520921270256878,1.0,
ring_narrow,ring,10,2000,200.0,0.0,0.9649643905775759,0.3501414104728627,104.97434114760478,1.3204411286272555,0.6857080071419521,2.5832220579873177,1.0,
ring_wide,ring,10,2000,200.0,0.0,0.967296236939863,0.35847188527327983,90.19167735396509,6.5286732519046,2.3363870515690905,2.861075669952514,1.0,
scratch,line,0,0,,,,,,,,,0.0,
scratch_diagonal,line,0,0,,,,,,,,,0.0,
scratch_diagonal_rev,line,0,0,,,,,,,,,0.0,
scratch_horizontal,line,5,1000,200.0,0.0,0.9610692740486612,0.34101195458549954,73.85843042241561,42.6311689615005,3.1552494290473745,2.4966929966960913,0.3333333333333333,line.theta_coverage
scratch_vertical,line,5,1000,200.0,0.0,0.9502773196074489,0.33644255069436224,75.38938709025071,42.54434388963063,1.8975053221513942,3.1354059814665387,0.4166666666666667,line.theta_coverage
