sample_id,label,n_particles,pattern_params,seed_offset
sample_000000,ring_narrow,200,"{""n_particles"": 200, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",0
sample_000001,edge_sector_left,200,"{""angle_width_deg"": 40.0, ""edge_width_ratio"": 0.1, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.edge_sector"", ""side"": ""left"", ""wafer_radius_mm"": 150.0}",1
sample_000002,hotspot_center,200,"{""center_angle"": ""random"", ""center_radius_ratio"": 0.9, ""mode"": ""center"", ""n_particles"": 200, ""name"": ""wafer_particles.pattern.hotspot"", ""sigma_ratio"": 0.05, ""wafer_radius_mm"": 150.0}",2
sample_000003,scratch_vertical,200,"{""angle_category"": ""vertical"", ""length_ratio"": 1.0, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",3
sample_000004,ring_wide,200,"{""n_particles"": 200, ""name"": ""wafer_particles.pattern.ring_wide"", ""radius_ratio"": 0.6, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15}",4
sample_000005,hotspot_center,200,"{""center_angle"": ""random"", ""center_radius_ratio"": 0.9, ""mode"": ""center"", ""n_particles"": 200, ""name"": ""wafer_particles.pattern.hotspot"", ""sigma_ratio"": 0.05, ""wafer_radius_mm"": 150.0}",5
sample_000006,edge_sector_left,200,"{""angle_width_deg"": 40.0, ""edge_width_ratio"": 0.1, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.edge_sector"", ""side"": ""left"", ""wafer_radius_mm"": 150.0}",6
sample_000007,edge_sector_left,200,"{""angle_width_deg"": 40.0, ""edge_width_ratio"": 0.1, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.edge_sector"", ""side"": ""left"", ""wafer_radius_mm"": 150.0}",7
sample_000008,ring_narrow,200,"{""n_particles"": 200, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",8
sample_000009,scratch_horizontal,200,"{""angle_category"": ""horizontal"", ""length_ratio"": 1.0, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",9
sample_000010,radial_lines,200,"{""angular_jitter_deg"": 2.0, ""n_lines"": 6, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.radial_lines"", ""r_max_ratio"": 1.0, ""r_min_ratio"": 0.0, ""wafer_radius_mm"": 150.0}",10
sample_000011,ring_wide,200,"{""n_particles"": 200, ""name"": ""wafer_particles.pattern.ring_wide"", ""radius_ratio"": 0.6, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15}",11
sample_000012,random_uniform,200,"{""n_particles"": 200, ""name"": ""wafer_particles.pattern.random_uniform"", ""wafer_radius_mm"": 150.0}",12
sample_000013,scratch_vertical,200,"{""angle_category"": ""vertical"", ""length_ratio"": 1.0, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",13
sample_000014,hotspot_center,200,"{""center_angle"": ""random"", ""center_radius_ratio"": 0.9, ""mode"": ""center"", ""n_particles"": 200, ""name"": ""wafer_particles.pattern.hotspot"", ""sigma_ratio"": 0.05, ""wafer_radius_mm"": 150.0}",14
sample_000015,edge_sector_left,200,"{""angle_width_deg"": 40.0, ""edge_width_ratio"": 0.1, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.edge_sector"", ""side"": ""left"", ""wafer_radius_mm"": 150.0}",15
sample_000016,ring_wide,200,"{""n_particles"": 200, ""name"": ""wafer_particles.pattern.ring_wide"", ""radius_ratio"": 0.6, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15}",16
sample_000017,ring_narrow,200,"{""n_particles"": 200, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",17
sample_000018,radial_lines,200,"{""angular_jitter_deg"": 2.0, ""n_lines"": 6, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.radial_lines"", ""r_max_ratio"": 1.0, ""r_min_ratio"": 0.0, ""wafer_radius_mm"": 150.0}",18
sample_000019,ring_narrow,200,"{""n_particles"": 200, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",19
sample_000020,edge_sector_right,200,"{""angle_width_deg"": 40.0, ""edge_width_ratio"": 0.1, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.edge_sector"", ""side"": ""right"", ""wafer_radius_mm"": 150.0}",20
sample_000021,edge_sector_right,200,"{""angle_width_deg"": 40.0, ""edge_width_ratio"": 0.1, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.edge_sector"", ""side"": ""right"", ""wafer_radius_mm"": 150.0}",21
sample_000022,scratch_horizontal,200,"{""angle_category"": ""horizontal"", ""length_ratio"": 1.0, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",22
sample_000023,scratch_horizontal,200,"{""angle_category"": ""horizontal"", ""length_ratio"": 1.0, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",23
sample_000024,scratch_vertical,200,"{""angle_category"": ""vertical"", ""length_ratio"": 1.0, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",24
sample_000025,ring_narrow,200,"{""n_particles"": 200, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",25
sample_000026,scratch_horizontal,200,"{""angle_category"": ""horizontal"", ""length_ratio"": 1.0, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",26
