sample_id,label,n_particles,pattern_params,seed_offset
sample_000000,C07_StraightLine,109,"{""angle_deg"": 26.532751500185235, ""n_particles"": 109, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.2503010795891412, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.792323853932041, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.016906395736383344}",0
sample_000001,C04_Sector_Edge,110,"{""angle_center_rad"": 4.907651202200273, ""angle_width_deg"": 24.70415984954921, ""edge_width_ratio"": 0.26632616525976965, ""n_particles"": 110, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.4044616018347282, ""radial_beta_beta"": 1.152224065689168, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 6.5852766864015955, ""wafer_radius_mm"": 150.0}",1
sample_000002,C04_Sector_Edge,78,"{""angle_center_rad"": 2.1564733001202536, ""angle_width_deg"": 81.63952617058683, ""edge_width_ratio"": 0.07783816180216176, ""n_particles"": 78, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.2488101271399186, ""radial_beta_beta"": 1.8901141161406156, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 5.986559656810051, ""wafer_radius_mm"": 150.0}",2
sample_000003,C01_Uniform,181,"{""n_particles"": 181, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",3
sample_000004,C02_EdgeBiased,113,"{""edge_bias"": 2.5574035982355205, ""n_particles"": 113, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",4
sample_000005,C02_EdgeBiased,164,"{""edge_bias"": 1.52571418654076, ""n_particles"": 164, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",5
sample_000006,C08_CurvedScratch,72,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 2.9301241699432867, ""arc_radius_ratio"": 0.488612709759365, ""n_particles"": 72, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 147.92681265351442, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03774049847961729}",6
sample_000007,C05_Sector_Internal,117,"{""angle_center_rad"": 0.535358858318839, ""angle_width_deg"": 58.68810569231959, ""edge_margin_norm"": 0.05, ""n_particles"": 117, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.3323456479853587, ""r_outer_ratio"": 0.6846796517842536, ""radial_beta_alpha"": 3.716855259945671, ""radial_beta_beta"": 3.6955349431874867, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 7.697283358784212, ""wafer_radius_mm"": 150.0}",7
sample_000008,C07_StraightLine,173,"{""angle_deg"": 3.683617072683858, ""n_particles"": 173, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.07182136431260124, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.30752237538573013, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03760966828093387}",8
sample_000009,C04_Sector_Edge,33,"{""angle_center_rad"": 2.9909720370735347, ""angle_width_deg"": 63.42550963280228, ""edge_width_ratio"": 0.2261924086731859, ""n_particles"": 33, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.7274544877462839, ""radial_beta_beta"": 0.8345694571102185, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 2.031592559410441, ""wafer_radius_mm"": 150.0}",9
